name,category,lat,lon
OSM library 3139518229,library,47.6738124,-117.3614295
Jacobs Well Community Center,community_centre,47.6515772,-117.3662576
IEYSA United Youth Soccer,community_centre,47.6933027,-117.4374351
OSM community_centre 11363386716,community_centre,47.6293923,-117.6700037
Hillyard Library,library,47.6952587,-117.3730095
Liberty Lake Library,library,47.6717931,-117.0942897
MSHS Library,library,47.7889885,-117.3218796
Five Mile Library Kiosk,library,47.7176328,-117.4366189
Latah Library Kiosk,library,47.6152599,-117.4288053
Logan Library Kiosk,library,47.6836093,-117.3960799
Lakeside Library,library,47.8107946,-117.5627977
Foley Library,library,47.6665948,-117.4007614
Central Library,library,47.6594245,-117.4255171
South Hill Library,library,47.6243207,-117.3906656
John F. Kennedy Library,library,47.4905835,-117.5839059
Harriet Cheney Cowles Memorial Library,library,47.7533361,-117.4169675
Airway Heights Library,library,47.6444819,-117.5927129
Lair Student Center,community_centre,47.6739168,-117.360021
Library,library,47.6768412,-117.4635042
Student Union Building,community_centre,47.6763852,-117.4648747
Cheney Library,library,47.4885769,-117.5743706
Spangle Servcie Club,community_centre,47.4288947,-117.3798826
Boys & Girls Club of Spokane County,community_centre,47.6920742,-117.4013782
Post Falls Library,library,47.7164336,-116.9489462
Shadle Library,library,47.7002382,-117.4423285
Meals on Wheels,community_centre,47.6547549,-117.4304339
Indian Trail Library,library,47.7404277,-117.4825843
South Side Community Center,community_centre,47.6314719,-117.363747
Reardan Community Hall,community_centre,47.6699678,-117.8802375
Tum Tum Community Center,community_centre,47.8568418,-117.6432773
Joel E. Ferris Library & Archive,library,47.6570217,-117.4462106
Recovery Cafe Spokane,community_centre,47.6594907,-117.4323657
Alice Porter Memorial Library,library,47.2368587,-117.3700251
Sinto Senior Activity Center,community_centre,47.670519,-117.4293863
Corbin Art Center,community_centre,47.6483825,-117.4195962
Moran Prairie Library,library,47.5994621,-117.3695767
The Native Project,community_centre,47.6705524,-117.4390761
Rearden Memorial Library,library,47.6691144,-117.881672
Argonne Library,library,47.6964123,-117.2819535
Otis Orchards Library,library,47.6999369,-117.1059055
Fairfield Library,library,47.3855783,-117.1701518
Medical Lake Library,library,47.571247,-117.6788843
East Central Community Center,community_centre,47.6511761,-117.3775609
Blanchard Grange Hall,community_centre,48.0149277,-116.9811203
Blanchard Community Center,community_centre,48.014343,-116.9787585
Deer Park Library,library,47.9521109,-117.4608702
Loon Lake Library,library,48.0625455,-117.6329515
Clayton Grange 456,community_centre,47.9964489,-117.5607837
North Spokane Library,library,47.7507737,-117.4089965
Liberty Park Library,library,47.6523574,-117.3851072
Worley Longhouse,community_centre,47.3990997,-116.9149027
Worley Grange,community_centre,47.401051,-116.9200876
Odyssey Youth Movement,community_centre,47.6447086,-117.3896818
Spokane Valley Library,library,47.6575517,-117.2685747
West Central Library Kiosk,library,47.6724784,-117.44352
Tekoa Museum & Library,library,47.222587,-117.0733362
Old Valley Prairie Hall,community_centre,47.8594318,-117.2940553
Fairfield Community Center,community_centre,47.3849929,-117.1702567
West Central Community Center,community_centre,47.6725923,-117.4433169
